;IN_AGUA_POTAVEL;IN_AGUA_REDE_PUBLICA;IN_AGUA_POCO_ARTESIANO;IN_AGUA_CACIMBA;IN_AGUA_FONTE_RIO;IN_AGUA_INEXISTENTE;IN_ENERGIA_REDE_PUBLICA;IN_ENERGIA_GERADOR_FOSSIL;IN_ENERGIA_RENOVAVEL;IN_ENERGIA_INEXISTENTE;IN_ESGOTO_REDE_PUBLICA;IN_ESGOTO_FOSSA_SEPTICA;IN_ESGOTO_FOSSA_COMUM;IN_ESGOTO_FOSSA;IN_ESGOTO_INEXISTENTE;IN_LIXO_SERVICO_COLETA;IN_LIXO_QUEIMA;IN_LIXO_ENTERRA;IN_LIXO_DESTINO_FINAL_PUBLICO;IN_LIXO_DESCARTA_OUTRA_AREA;IN_TRATAMENTO_LIXO_SEPARACAO;IN_TRATAMENTO_LIXO_REUTILIZA;IN_TRATAMENTO_LIXO_RECICLAGEM;IN_TRATAMENTO_LIXO_INEXISTENTE
MINIMO;539.0;269.0;67.0;6.0;2.0;0.0;578.0;0.0;5.0;0.0;96.0;85.0;37.0;122.0;0.0;361.0;9.0;2.0;3.0;2.0;135.0;62.0;65.0;657.0
MAXIMO;30042.0;29212.0;4498.0;2287.0;2229.0;990.0;30056.0;804.0;307.0;1179.0;28563.0;5191.0;5145.0;8559.0;1594.0;13953.0;6549.0;683.0;21550.0;2522.0;10813.0;2848.0;6378.0;16648.0
MEDIA;6315.7037037037035;5035.777777777777;1033.5555555555557;594.7407407407408;263.81481481481484;132.2962962962963;6411.740740740741;72.77777777777777;70.25925925925925;122.66666666666667;3762.703703703704;1494.851851851852;1191.5555555555557;2686.4074074074074;283.22222222222223;4678.62962962963;1190.4444444444443;155.03703703703704;897.3333333333334;197.7037037037037;2745.814814814815;885.8888888888889;1313.0740740740741;4810.888888888889
MEDIANA;4486.0;2861.0;689.0;233.0;83.0;21.0;4268.0;9.0;54.0;5.0;1362.0;1290.0;751.0;2006.0;75.0;2938.0;394.0;74.0;52.0;43.0;1347.0;658.0;709.0;3041.0
DESVIO PADRAO;6380.910242607752;6050.4703334873275;1107.8199775072223;675.1652557019817;499.31545732725516;246.8926603910812;6470.657709957327;197.15638723014027;68.64770296599241;290.96021403938744;5888.309714463676;1145.8388161484984;1326.9655184591224;2311.0733813077363;480.99754783745107;3907.1046741126524;1731.4806321432475;170.50884964208691;4129.740874716923;483.8093883096155;2771.393526688709;760.7964113264333;1395.4716579523026;4587.867221381373
