TP_DEPENDENCIA;IN_AGUA_POTAVEL;IN_AGUA_REDE_PUBLICA;IN_AGUA_POCO_ARTESIANO;IN_AGUA_CACIMBA;IN_AGUA_FONTE_RIO;IN_AGUA_INEXISTENTE;IN_ENERGIA_REDE_PUBLICA;IN_ENERGIA_GERADOR_FOSSIL;IN_ENERGIA_RENOVAVEL;IN_ENERGIA_INEXISTENTE;IN_ESGOTO_REDE_PUBLICA;IN_ESGOTO_FOSSA_SEPTICA;IN_ESGOTO_FOSSA_COMUM;IN_ESGOTO_FOSSA;IN_ESGOTO_INEXISTENTE;IN_LIXO_SERVICO_COLETA;IN_LIXO_QUEIMA;IN_LIXO_ENTERRA;IN_LIXO_DESTINO_FINAL_PUBLICO;IN_LIXO_DESCARTA_OUTRA_AREA;IN_TRATAMENTO_LIXO_SEPARACAO;IN_TRATAMENTO_LIXO_REUTILIZA;IN_TRATAMENTO_LIXO_RECICLAGEM;IN_TRATAMENTO_LIXO_INEXISTENTE
1;0.987012987012987;0.7705627705627706;0.3492063492063492;0.07215007215007214;0.03463203463203463;0.0;0.98989898989899;0.04184704184704185;0.15007215007215008;0.0;0.6320346320346321;0.37662337662337664;0.03896103896103896;0.4155844155844156;0.001443001443001443;0.9725829725829725;0.010101010101010102;0.005772005772005772;0.04184704184704185;0.007215007215007215;0.6681096681096681;0.17893217893217894;0.22077922077922077;0.44733044733044736
2;0.950120867522386;0.845527901671717;0.14000204283136428;0.042490892376834295;0.021960437165911954;0.009737496169691192;0.9787205066221784;0.005277314357699772;0.0034047189404514656;0.014640291443941302;0.624970208709271;0.24122433693098635;0.12856218719144735;0.3697865241224337;0.03200435804024378;0.7514895645364476;0.08413060501855572;0.024037315719587348;0.20241054100983963;0.01828334071022437;0.3258656497906098;0.0513431616220081;0.13043478260869565;0.6542848387865582
3;0.9391076945985184;0.6644362133789972;0.18209991438037448;0.1287644715780069;0.05834232959833228;0.030357741130923575;0.9538863864795444;0.01524401593269553;0.007175296876744965;0.02627219595726464;0.42836801548598447;0.2759743885641961;0.24930201392249562;0.5252764024866917;0.060361835982578264;0.6472564493913562;0.27134906749060045;0.03071138741019246;0.09983992852622567;0.04355433123627294;0.33860700591892195;0.10709898373227116;0.15357555001302908;0.7717306332129695
4;0.9897306110529774;0.949285766432239;0.0958070717640474;0.02117148906139732;0.0027498600734918357;0.00036502567347236755;0.9944272747183218;0.003552916555131044;0.02248558148589784;4.8670089796315674e-05;0.8903949577786971;0.08086535419657849;0.03657557248193123;0.11744092667850972;0.0033582361959457814;0.8263451196067457;0.0077628793225123505;0.0042099627673813055;0.18032268269534957;0.002652519893899204;0.6738617282748887;0.26247779427153045;0.3641009417662376;0.6597717372788553
